preytype_cd,common_name,phylum,class,order,family,genus,scientific_name,ITIS_TSN,AphiaID,notes
apc,California sea cucumber,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,Apostichopus,Apostichopus californicus,1078919,529363,
bas,Any barnacle,Arthropoda,Maxillopoda,Sessilia,,,,621154,106033,
biv,Any bivalve,Mollusca,Bivalvia,,,,,79118,105,
cam,Dungeness crab,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer magister,98675,452271,"now accepted as Metacarcinus magister, Aphia ID 440388"
can,rock and Cancer crabs,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,,98670,106749,
cao,pygmy rock crab,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer oregonensis,98677,582152,now accepted as Glebocarcinus oregonensis Aphia ID 440384
cap,red rock crab,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer productus,98672,440382,
chb,Tanner crab,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,Chionoecetes bairdi,98429,368558,
chi,any chiton,Mollusca,Polyplacophora,,,,,78807,55,
chl,any Chlamys scallop,Mollusca,Bivalvia,Ostreoida,Pectinidae,Chlamys,Chlamys spp.,79612,138315,
cla,Any clam,Mollusca,Bivalvia,"Pholadomyoida, Myoida, Veneroida",,,,"81910, 81686, 80384",105,
cln,Nuttall Cockle,Mollusca,Bivalvia,Veneroida,Cardiidae,Clinocardium,Clinocardium nuttallii,80873,381980,
cra,any crab,Arthropoda,Malacostraca,Decapoda,,,,95599,1130,
crg,Pacific oyster,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Crassostrea gigas,79868,140656,now accepted as Magallana gigas Aphia ID 836033
crp,common sun star,Echinodermata,Asteroidea,Spinulosida,Solasteridae,Crossaster,Crossaster papposus,157066,124154,
crs,giant Pacific chiton,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptochiton,Cryptochiton stelleri,79032,240776,
cuc,any sea cucumber,Echinodermata,Holothuroidea,,,,,158140,123083,
cuf,pale sea cucumber,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,Cucumaria fallax,158211,528995,
cum,orange sea cucumber,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,Cucumaria miniata,158204,225807,
ecs,Fat innkeeper worm,Annelida,Polychaeta,Echiuroidea,Urechidae,Urechis,Urechis spp.,155144,264946,
egm,"egg mass, unspecified taxa",,,,,,,,,
enn,Ugly Clam,Mollusca,Bivalvia,Pholadomyoida,Lyonsiidae,Entodesma,Entodesma navicula,567538,506763,
eul,"Lewis' moonsnail, current accepted name, Neverita lewisii",Mollusca,Gastropoda,Neotaenioglossa,Naticidae,Euspira,Euspira lewisii,567572,246813,now accepted as Neverita lewisii Aphia ID 718659
evt,mottled sea star,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Evasterias,Evasterias troscheli,990379,255040,
feg,any bony fish eggs,Chordata,,,,,,,,
fis,any bony fish,Chordata,Teleostei ,,,,,161105,293496,
fuo,Oregon triton,Mollusca,Gastropoda,Neotaenioglossa,Ranellidae,Fusitriton,Fusitriton oregonensis,73018,476496,
gac,California Sunset clam,Mollusca,Bivalvia,Veneroida,Psammobiidae,Gari,Gari californica,81261,507139,
goc,common basket star,Echinodermata,Ophiuroidea,Phrynophiurida,Gorgonocephalidae,Gorgonocephalus,"Gorgonocephalus caryi, Gorgonocephalus eucnemis",157360,124968,now accepted as Gorgonocephalus eucnemis Aphia ID 124969
gos,any basket star,Echinodermata,Ophiuroidea,Phrynophiurida,Gorgonocephalidae,Gorgonocephalus,Gorgonocephalus spp.,157359,123586,
haa,Sea peach,Chordata,Ascidiacea,Pleurogona,Pyuridae,Halocynthia,Halocynthia aurantium,159499,250674,
hes,shore crabs,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,Hemigrapsus spp.,99034,106964,
huk,Kennerley's venus,Mollusca,Bivalvia,Veneroida,Veneridae,Humilaria,Humilaria kennerleyi,81462,507686,
hyl,Pacific lyre crab,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,Hyas lyratus,98422,442167,
kat,black katy,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Katharina,Katharina tunicata,78979,386338,
les,six-armed star,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,Leptasterias spp.,157225,123222,
lim,any limpet,Mollusca,Gastropoda,Patellogastropoda,,,,566854,382158,
lua,western ringed lucina,Mollusca,Bivalvia,Veneroida,Lucinidae,Lucinoma,Lucinoma annulata,80398,464200,
man,Bent-nosed macoma,Mollusca,Bivalvia,Veneroida,Tellinidae,Macoma,Macoma nasuta,81050,582761,
map,Arctic Surfclam,Mollusca,Bivalvia,Veneroida,Mactridae,Mactromeris,Mactromeris polynyma,80983,156863,
mas,Macoma species,Mollusca,Bivalvia,Veneroida,Tellinidae,Macoma,Macoma spp.,81033,138531,
mom,Northern Horsemussel,Mollusca,Bivalvia,Mytiloida,Mytilidae,Modilous,Modilous modiolus,79501,140467,
msc,Musculus mussels,Mollusca,Bivalvia,Mytiloida,Mytilidae,Musculus,Musculus spp.,79472,138225,
mtr,"Pacific blue mussel, foolish mussel",Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus trossulus,567928,140482,
mus,any mussel,Mollusca,Bivalvia,Mytiloida,Mytilidae,,,79451,211,
mya,Soft-shell Clam,Mollusca,Bivalvia,Myoida,Myidae,Mya,Mya arenaria,81692,140430,
mys,Mya species,Mollusca,Bivalvia,Myoida,Myidae,Mya,Mya spp.,81691,138211,
myt,truncate softshell clam,Mollusca,Bivalvia,Myoida,Myidae,Mya,Mya truncata,81694,140431,
nes,whelks,Mollusca,Gastropoda,Neogastropoda ,Buccinidae,Neptunea,Neptunea spp.,73975,137710,
ocd,giant Pacific octopus,Mollusca,Cephalopoda,Octopoda,Octopodidae,Enteroctopus,Enteroctopus dofleini,557227,342305,"NOAA uses octopus complex to lump all octopus & states ocd is the most abundant, so we'll do the same [https://apps-afsc.fisheries.noaa.gov/REFM/Docs/2017/GOAocto.pdf]"
ops,any brittle star,Echinodermata,Ophiuroidea,Phrynophiurida,,,,157325,123118,Taxonomy This order is currently not regarded as monophyletic and thus has no accepted synonym. It consisted of what are now the order Euryalida Aphia ID 242196 and the family Ophiomyxidae Aphia ID 123209.
org,graceful decorator crab,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Oregonia,Oregonia gracilis,98419,442171,
paa,Ample roughmya,Mollusca,Bivalvia,Myoida,Lyonsiidae,Panomya,Panomya ampla,81774,423634,
pac,red king crab,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes camtschaticus,,97935,233889,
pag,right-handed hermit crabs,Arthropoda,Malacostraca,Decapoda,Paguridae,,,97774,106738,
pas,Pandalus shrimp,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,Pandalus spp.,96966,107044,
pat,Weathervane scallop,Mollusca,Bivalvia,Ostreoida,Pectinidae,Patinopecten,Patinopecten caurinus,79757,393720,
pcr,striped shore crab,Arthropoda,Malacostraca,Decapoda,Grapsidae,Pachygrapsus,Pachygrapsus crassipes,99048,106965,
pha,Peanut worm,Sipuncula,Phascolosomatidea,Phascolosomatiformes,Phascolosomatidae,Phascolosoma,Phascolosoma agassizii,772572,266496,
pis,any Pisaster species,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,"P. brevispinus, P. giganteus, and P. ochraceus","157251, 157252, 157253, 157256","240754, 240755, 240757, 240758",
pom,Alaska rock jingle,Mollusca,Bivalvia,Ostreoida,Anomiidae,Pododesmus,Pododesmus macrochisma,79792,758426,
prs,Pacific Littleneck Clam,Mollusca,Bivalvia,Veneroida,Veneridae,Leukoma,"Leukoma staminea, formerly Protothaca staminea",81464,507737,
pug,graceful kelp crab,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,Pugettia gracilis,98438,441478,
pup,northern kelp crab,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,Pugettia producta,98436,240780,
pus,any kelp crab,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,Pugettia spp.,98435,240779,
pyh,sunflower star,Echinodermata,Asteroidea,Forcipulatida,Pycnopodiidae,Pycnopodia,Pycnopodia helianthoides,157274,240764,
sag,Butter Clam,Mollusca,Bivalvia,Veneroida,Veneridae,Saxidomus,Saxidomus gigantea,568268,546014,
sca,any scallop,Mollusca,Bivalvia,Ostreoida,Pectinidae,,,79611,213,
seg,Greenland Cockle,Mollusca,Bivalvia,Cardiida,Cardiidae,Serripes,Serripes groenlandicus,80879,582749,
sip,Pacific razor clam,Mollusca,Bivalvia,Solenida,Pharidae,Siliqua,Siliqua patula,81008,536684,
sna,any snail,Mollusca,Gastropoda,", Neogastropoda",,,,"70298, 73228",146,
sos,Sun star species,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,Solaster spp.,157074,123338,
spi,Surf clams,Mollusca,Bivalvia,Veneroida,Mactridae,Spisula,Spisula spp.,80943,138159,
spo,any sponge,Porifera,,,,,,46861,558,
sta,any sea star,Echinodermata,Asteroidea,,,,,156862,123080,
